project_name,bug_number,granularity,technique,crashing,predicate,experiment_time_seconds,e_inspect,exam_score
black,1,Function,Metallaxis,0,0,9860.772542476654,8.0,0.019801980198019802
black,3,Function,Metallaxis,0,0,2934.713768720627,168.0,0.5045045045045045
black,4,Function,Metallaxis,0,0,36802.90059328079,187.5,0.6087662337662337
black,6,Function,Metallaxis,0,1,60647.180084228516,18.0,0.059602649006622516
black,7,Function,Metallaxis,0,1,38467.157809495926,2.5,0.008333333333333333
black,8,Function,Metallaxis,0,1,40048.151502370834,1.5,0.005
black,10,Function,Metallaxis,0,1,36411.9872405529,1.5,0.005084745762711864
black,11,Function,Metallaxis,0,1,55316.58390331268,38.5,0.13095238095238096
black,14,Function,Metallaxis,1,1,11397.33365225792,1.0,0.0035211267605633804
black,15,Function,Metallaxis,0,1,37823.36705946922,1.125,0.003852739726027397
black,18,Function,Metallaxis,0,0,23721.572602033615,2.0,0.007168458781362007
black,19,Function,Metallaxis,0,0,14800.312005281448,1.0,0.003937007874015748
black,23,Function,Metallaxis,0,1,7935.155114650726,1.0,0.0047169811320754715
cookiecutter,1,Function,Metallaxis,1,0,15.119228601455688,1.0,0.01639344262295082
cookiecutter,2,Function,Metallaxis,0,1,138.67243552207947,5.333333333333333,0.08743169398907104
cookiecutter,3,Function,Metallaxis,0,0,41.21637177467346,1.0,0.017543859649122806
cookiecutter,4,Function,Metallaxis,0,1,10.85617208480835,8.4,0.22702702702702704
fastapi,1,Function,Metallaxis,0,1,967.2091643810272,1.0,0.006493506493506494
fastapi,2,Function,Metallaxis,0,0,1173.8808906078339,80.0,0.5194805194805194
fastapi,3,Function,Metallaxis,1,1,1301.428593158722,2.0,0.013071895424836602
fastapi,4,Function,Metallaxis,0,0,457.368346452713,6.0,0.040268456375838924
fastapi,5,Function,Metallaxis,0,0,324.2960829734802,77.0,0.5273972602739726
fastapi,6,Function,Metallaxis,0,1,361.4668378829956,3.0,0.02054794520547945
fastapi,7,Function,Metallaxis,1,0,323.9393322467804,75.0,0.5244755244755245
fastapi,9,Function,Metallaxis,0,1,427.9466383457184,72.0,0.5581395348837209
fastapi,10,Function,Metallaxis,0,0,889.5487492084503,1.0,0.007751937984496124
fastapi,11,Function,Metallaxis,1,0,587.9990510940552,73.0,0.5658914728682171
fastapi,12,Function,Metallaxis,0,0,452.6882300376892,1.0,0.007936507936507936
fastapi,14,Function,Metallaxis,0,0,409.0861096382141,96,1.0
fastapi,16,Function,Metallaxis,1,1,14.806779384613037,1.0,0.010869565217391304
httpie,2,Function,Metallaxis,0,1,664.7562539577484,19.5,0.11271676300578035
httpie,3,Function,Metallaxis,1,0,612.1916303634644,5.0,0.028901734104046242
httpie,4,Function,Metallaxis,0,1,696.679612159729,22.0,0.13333333333333333
httpie,5,Function,Metallaxis,0,1,609.3335168361664,1.0,0.06666666666666667
keras,1,Function,Metallaxis,0,0,20474.759580373764,3.0,0.001567398119122257
keras,3,Function,Metallaxis,1,0,55411.42900657654,7.0,0.003680336487907466
keras,5,Function,Metallaxis,0,0,108732.53878593445,2.5,0.001348435814455232
keras,6,Function,Metallaxis,0,0,26618.655654668808,32.0,0.017486338797814208
keras,7,Function,Metallaxis,0,0,26873.766787290573,980.0,0.5399449035812672
keras,10,Function,Metallaxis,1,1,1428.1467032432556,1.0,0.0005461496450027307
